Age,ID Passport,First Name,Last Name,Phone,Destination,Time,Day,Month,Year
54,m,esi,hess,2525252585,Mombasa,10am,23,3,2023
34,m,Cole,Shawn,0789234444,Eldoret,10am,12,2,2023
5,2525252,aisha,maisha,0789567832,Mombasa,2pm,12,2,2023
32,2131515,walid,hassan,5585553552,Mombasa,2pm,23,3,2023
54,3252525/bo,,kiss,1155511,Eldoret,5pm,31,3,2023
32,23525,yohan,hussein,072725224,Kisumu,2pm,23,3,2023
45,2464636,quav,o,3573737373,Eldoret,5pm,12,2,2023
24,2252467,dro,kue,474737366,Kisumu,2pm,2,2,2023
34,547737,shabi,daan,074636375,Mombasa,10am,12,2,2023
3,24525,aihfa,dfbd,6095322,Kisumu,2pm,2,2,2023
34,24525,miguel,ohara,0724526377,Mombasa,10am,4,4,2023
